Hotel_ID,Hotel_Name,Raw_Hotel_Name,Location,City,State,Landmark,Address
114293,OYO Hotel Meghma,OYO Hotel Meghma,Darjeeling,Darjeeling,West Bengal,,"Darjeeling, West Bengal"
114306,OYO Flagship 82241 Decent Pg,OYO Flagship 82241 Decent Pg,Ludhiana,Ludhiana,Punjab,,"Ludhiana, Punjab"
114346,Flagship Dinesh Home Stay,Flagship Dinesh Home Stay,Khajuraho,Khajuraho,Madhya Pradesh,,"Khajuraho, Madhya Pradesh"
114357,OYO Nova Resort,OYO Nova Resort,Raebareily,Raebareily,Uttar Pradesh,,"Raebareily, Uttar Pradesh"
114365,Capital O Safari Rooms,Capital O Safari Rooms Near Snow City,Bangalore,Bangalore,Karnataka,Near Snow City,"Near Snow City, Bangalore, Karnataka"
114380,OYO Holiday Inn,OYO Holiday Inn,Hyderabad,Hyderabad,Telangana,,"Hyderabad, Telangana"
114402,Collection O,Collection O Near Airport,Chennai,Chennai,Tamil Nadu,Near Airport,"Near Airport, Chennai, Tamil Nadu"
114412,Townhouse 1154 Mount Road Rich Mount,Townhouse 1154 Mount Road Rich Mount Near Marina Beach,Chennai,Chennai,Tamil Nadu,Near Marina Beach,"Near Marina Beach, Chennai, Tamil Nadu"
114441,OYO Ocean's 11,OYO Ocean's 11,Meerut,Meerut,Uttar Pradesh,,"Meerut, Uttar Pradesh"
114451,OYO Akshaya Kanuru,OYO Akshaya Kanuru,Vijayawada,Vijayawada,Andhra Pradesh,,"Vijayawada, Andhra Pradesh"
114476,Collection O Sukhi Palace,Collection O Sukhi Palace Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,Bangalore,Bangalore,Karnataka,Near Ragigudda Sri Prasanna Anjaneyaswamy Temple,"Near Ragigudda Sri Prasanna Anjaneyaswamy Temple, Bangalore, Karnataka"
114497,SPOT ON Hotel Blue Ray,SPOT ON Hotel Blue Ray,Ghaziabad,Ghaziabad,Uttar Pradesh,,"Ghaziabad, Uttar Pradesh"
114528,Collection O Hotel Srinivasa Residency,Collection O Hotel Srinivasa Residency,Tirupati,Tirupati,Andhra Pradesh,,"Tirupati, Andhra Pradesh"
114530,OYO Townhouse 678 De Alphabet Tirupati,OYO Townhouse 678 De Alphabet Tirupati,Tirupati,Tirupati,Andhra Pradesh,,"Tirupati, Andhra Pradesh"
114533,Palette Collection Kevadia Houseboat,"Palette Collection Kevadia Houseboat, Statue Of Unity",Vadodara,Vadodara,Gujarat,Statue Of Unity,"Statue Of Unity, Vadodara, Gujarat"
114556,OYO Hotel Meet,OYO Hotel Meet,Lucknow,Lucknow,Uttar Pradesh,,"Lucknow, Uttar Pradesh"
114563,OYO Snowdale Residency,OYO Snowdale Residency,Darjeeling,Darjeeling,West Bengal,,"Darjeeling, West Bengal"
114576,Collection O 82491 Crystal Palace,Collection O 82491 Crystal Palace,Darjeeling,Darjeeling,West Bengal,,"Darjeeling, West Bengal"
114598,OYO Hotel Daily,OYO Hotel Daily,Jaipur,Jaipur,Rajasthan,,"Jaipur, Rajasthan"
114601,OYO Townhouse Hotel Galaxy Stay,OYO Townhouse Hotel Galaxy Stay,Delhi_Transit,Delhi (Transit),Delhi,"Near IGI Airport, Mahipalpur","Near IGI Airport, Mahipalpur, Delhi"
114602,Capital O Hotel Royal In,Capital O Hotel Royal In,Gwalior,Gwalior,Madhya Pradesh,,"Gwalior, Madhya Pradesh"
114653,Capital O 82561 Hotel Om Palace,Capital O 82561 Hotel Om Palace,Bhopal,Bhopal,Madhya Pradesh,,"Bhopal, Madhya Pradesh"
114656,OYO Flagship 82564 Blue Moon Residency,OYO Flagship 82564 Blue Moon Residency,Ludhiana,Ludhiana,Punjab,,"Ludhiana, Punjab"
114668,OYO Hotel Devpuri Inn,OYO Hotel Devpuri Inn,Lucknow,Lucknow,Uttar Pradesh,,"Lucknow, Uttar Pradesh"
114676,SPOT ON Plaza Guest House,SPOT ON Plaza Guest House,Patna,Patna,Bihar,,"Patna, Bihar"
114677,Capital O Honey Hotel,Capital O Honey Hotel,Raipur,Raipur,Chhattisgarh,,"Raipur, Chhattisgarh"
114685,OYO Dooars Green Resort,OYO Dooars Green Resort,Latagudi,Latagudi,West Bengal,,"Latagudi, West Bengal"
114688,Collection O Safe Hotel Kadavanthra,Collection O Safe Hotel Kadavanthra,Ernakulam,Ernakulam,Kerala,,"Ernakulam, Kerala"
